contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid
SPY260821C00360000,2026-07-06 19:05:52+00:00,360.0,393.71,387.79,391.01,0.0,0.0,13.0,91,0.94726615234375,True,REGULAR,USD,389.4
SPY260821C00365000,2026-07-02 14:40:49+00:00,365.0,386.5,382.84,386.04,0.0,0.0,2.0,31,0.936524072265625,True,REGULAR,USD,384.44
SPY260821C00370000,2026-04-17 14:32:05+00:00,370.0,343.98,369.32,372.12,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,370.72
SPY260821C00375000,2026-04-07 19:20:29+00:00,375.0,288.49,363.8,367.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,365.4
SPY260821C00395000,2026-06-30 16:50:04+00:00,395.0,354.43,353.24,356.31,0.0,0.0,42.0,42,0.8813488427734374,True,REGULAR,USD,354.775
SPY260821C00400000,2026-06-18 20:01:16+00:00,400.0,350.31,348.05,351.26,0.0,0.0,1.0,23,0.8530288134765626,True,REGULAR,USD,349.655
SPY260821C00420000,2026-05-29 19:14:22+00:00,420.0,338.74,328.15,331.38,0.0,0.0,4.0,8,0.8042011767578124,True,REGULAR,USD,329.765
SPY260821C00425000,2026-06-17 16:43:57+00:00,425.0,327.11,323.18,326.42,0.0,0.0,,5,0.7929708203125,True,REGULAR,USD,324.8
SPY260821C00435000,2026-06-17 16:02:35+00:00,435.0,317.81,314.02,316.29,0.0,0.0,3.0,20,0.7943135803222656,True,REGULAR,USD,315.155
SPY260821C00440000,2026-06-09 15:12:06+00:00,440.0,300.25,308.53,311.58,0.0,0.0,5.0,9,0.77148666015625,True,REGULAR,USD,310.05499999999995
SPY260821C00445000,2026-06-12 13:40:45+00:00,445.0,294.51,303.31,306.54,0.0,0.0,1.0,8,0.7463404272460938,True,REGULAR,USD,304.925
